Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression + SMOTE,0.9786875460833538,0.0687789799072643,0.9081632653061225,0.1278735632183908,0.9691228014137562
Random Forest + SMOTE,0.9994557775359011,0.8602150537634409,0.8163265306122449,0.837696335078534,0.9687278382793748
XGBoost + SMOTE,0.9992802219023208,0.7567567567567568,0.8571428571428571,0.8038277511961722,0.9779276440458007
